question,answer
"He/she outlines the needs of the facility and is responsible 
for arranging the financial resources for creation of the facility?","responsible 
for arranging the financial resources for creation of the facility."
"Designers (A&E)—This group consists of one or more architects or 
engineers and consultants?",group cons.
"They are the owner’s appointed enti-
ties accountable for converting the owner’s conception and need 
Owner
Project manager
• In-house staff
• Speciality consultants
Design professional
Constructor
Design team leader
• Design disciplines
• Design subconsultants
   (associate consultants)
Construction manager or
superintendent
• Construction subcontractors
• Suppliers/vendors
• Fabricators
• Construction trade workers 
Lines of authority (defined by contract)
Lines of communication 
FIGURE 10?","ciplines
• Design subconsultants
   (associate consultants)
Construction manager or
superintendent
• Construction subcontractors
• Suppliers/vendors
• Fabricators
• Construction trade workers 
Lines of authority (defined by contract)
Lines of communication 
FIGURE 10."
Reprinted with permission from ASCE?,sion from ASCE.
"They are 
responsible for the design of the project and in certain cases its 
supervision?",ion.
"Contractors—A construction firm engaged by the owner to complete 
the specific facility by providing the necessary staff, work force, 
materials, equipment, tools, and other accessories to the satisfaction 
of the owner/end user in compliance with the contract documents?","faction 
of the owner/end user in compliance with the contract documents."
"The contractor is responsible for implementing the project activities 
and for achieving the owner’s objectives?","responsible for implementing the project activities 
and for achieving the owner’s objectives."
"Construction projects are executed based on a predetermined set of goals 
and objectives?","executed based on a predetermined set of goals 
and objectives."
"The project manager is a person/­
member of the owner’s staff or independently hired person/firm with over-
all or principal responsibility for the management of the project as a whole?","a person/­
member of the owner’s staff or independently hired person/firm with over-
all or principal responsibility for the management of the project as a whole."
"Oberlender (2000) states that the working environment and culture of a 
construction project is unique compared to most working conditions?",unique compared to most working conditions.
"A typi-
cal construction project consists of a group of people, normally from several 
organizations, that are hired and assigned to a project to build the facility?","ts of a group of people, normally from several 
organizations, that are hired and assigned to a project to build the facility."
"Due to the relatively short life of a construction project, these people may 
view the construction project as accomplishing short-term tasks?",hing short-term tasks.
"However, 
the project manager of the construction team must instill in the team the 
concept that building a long-term relationship is more important in career 
advancement than trying to accomplish short-term tasks?","more important in career 
advancement than trying to accompl."
"In certain cases, owners engage a professional firm, called a construction 
manager, trained in the management of construction processes, to assist in 
developing bid documents, and overseeing and coordinating the project for 
the owner?","t in 
developing bid documents, and overseeing and coordinating the project for 
the owner."
"The basic construction management concept is that the owner 
assigns a contract to a firm that is knowledgeable and capable of coordinat-
ing all the aspects of the project to meet the intended use of the project by 
the owner?","that the owner 
assigns a contract to a firm that."
"In the construction management type of construction projects, 
the consultants (architect/engineer) prepare complete design drawings 
and contract documents, then the project is put for competitive bid and the 
contract is awarded to the competitive bidder (contractor)?","put for competitive bid and the 
contract."
"ASCE (2000) categorized two types of construction managers: agency 
construction managers (ACM) and construction managers-at-risk (CM-at-
risk)?","k (CM-at-
r."
"A CM-at-risk typically contracts with the 
owner in two stages?","k typically contracts with the 
owner in two stages."
"During the first stage, CM-at-risks act as consultants or 
even design professionals, and when the design is completed they become 
involved in the completion of the construction work?","ks act as consultants or 
even design professionals, and when the design."
